iter	Passed	Remaining
321	12452636	6883755
322	12490750	6844776
323	12529326	6806053
324	12567602	6767170
325	12606308	6728520
326	12644439	6689565
327	12682511	6650585
328	12721269	6611966
329	12758604	6572614
330	12797677	6534161
331	12836730	6495695
332	12874506	6456584
333	12913146	6417911
334	12951843	6379266
335	12989710	6340215
336	13028571	6301653
337	13066187	6262492
338	13104712	6223772
339	13143386	6185122
340	13182147	6146514
341	13221143	6108013
342	13259361	6069153
343	13297995	6030486
344	13335929	5991504
345	13374322	5952733
346	13413198	5914176
347	13451489	5875363
348	13489666	5836503
349	13529371	5798302
350	13568256	5759744
351	13606498	5720914
352	13644860	5682137
353	13683023	5643280
354	13721008	5604355
355	13760173	5565913
356	13799032	5527343
357	13837441	5488594
358	13876288	5450018
359	13914535	5411208
360	13952902	5372447
361	13991309	5333703
362	14029191	5294763
363	14067049	5255820
364	14106073	5217314
365	14144382	5178544
366	14182373	5139661
367	14221251	5101101
368	14259636	5062364
369	14298473	5023787
370	14337747	4985362
371	14376357	4946703
372	14415244	4908139
373	14453876	4869487
374	14491784	4830594
375	14530955	4792123
376	14569336	4753391
377	14608525	4714920
378	14646503	4676060
379	14684505	4637212
380	14723844	4598785
381	14761545	4559849
382	14800399	4521270
383	14838858	4482571
384	14877342	4443881
385	14916519	4405397
386	14954977	4366698
387	14993645	4328062
388	15032506	4289481
389	15071402	4250908
390	15110145	4212291
391	15148447	4173551
392	15186910	4134858
393	15224792	4096010
394	15263271	4057325
395	15301215	4018501
396	15339979	3979893
397	15379009	3941354
398	15417457	3902664
399	15455267	3863816
400	15494640	3825360
401	15534107	3786921
402	15571916	3748079
403	15610424	3709407
404	15648596	3670658
405	15686962	3631956
406	15725811	3593367
407	15764132	3554657
408	15803077	3516088
409	15840638	3477213
410	15879615	3438651
411	15918076	3399977
412	15957068	3361416
413	15994663	3322563
414	16033996	3284071
415	16072423	3245393
416	16111301	3206805
417	16151296	3168436
418	16189543	3129720
419	16228421	3091127
420	16266539	3052391
421	16305684	3013846
422	16344643	2975266
423	16382856	2936549
424	16421287	2897874
425	16459933	2859237
426	16498273	2820547
427	16537492	2782008
428	16576426	2743417
429	16615441	2704839
430	16654575	2666277
431	16693360	2627658
432	16731664	2588964
433	16769890	2550259
434	16808743	2511651
435	16847906	2473087
436	16886644	2434459
437	16924957	2395770
438	16963197	2357073
439	17001513	2318388
440	17039899	2279714
441	17078257	2241038
442	17115868	2202267
443	17155111	2163707
444	17193788	2125074
445	17232226	2086413
446	17270076	2047682
447	17308700	2009045
448	17346076	1970267
449	17384277	1931586
450	17422923	1892956
451	17460974	1854262
452	17499338	1815604
453	17537809	1776958
454	17576245	1738309
