iter	Accuracy	MultiClass
354	0.8593668946	0.4336444119
355	0.8594147752	0.4329727166
356	0.8595011264	0.4326115098
357	0.8594439981	0.4323216967
358	0.859458132	0.4319521306
359	0.8596084761	0.4315476781
360	0.8596487708	0.4311564662
361	0.8598863005	0.4307811928
362	0.8598839572	0.4301280163
363	0.8598821658	0.4297882929
364	0.8599646667	0.4290114725
365	0.8601213693	0.4287679752
366	0.860185635	0.4280752735
367	0.8601930954	0.4274713369
368	0.8601931686	0.4266545485
369	0.8602126483	0.4263720653
370	0.8602179425	0.4257397704
371	0.8601888362	0.4254147944
372	0.8602383876	0.425234231
373	0.8603542419	0.4248320479
374	0.8603547958	0.4241998967
375	0.860415826	0.42387213
376	0.8605619922	0.4230657069
377	0.8606143026	0.4228387505
378	0.8606302706	0.4225950454
379	0.860697856	0.4221081
380	0.8607390863	0.4218289346
381	0.8607368398	0.4211259076
382	0.8608420211	0.4208976655
383	0.8609470694	0.4205000519
384	0.8609786222	0.4198257526
385	0.8611130206	0.4195162167
386	0.8611597666	0.4191750122
387	0.8611794168	0.4187064253
388	0.861181674	0.4180176125
389	0.8612525304	0.4175808417
390	0.8612537286	0.4173854826
391	0.8613159472	0.417098546
392	0.8615230683	0.4168567169
393	0.8615602949	0.4167131666
394	0.8616642713	0.4164770518
395	0.8617123146	0.4161618541
396	0.861778482	0.4159524916
397	0.8617979629	0.415524989
398	0.8618562692	0.4152843147
399	0.8618774133	0.4144423501
400	0.861945625	0.4138855018
401	0.8619389577	0.4136387009
402	0.8619382249	0.4129200611
403	0.8620109885	0.4126498805
404	0.8620154713	0.4118428049
405	0.8620205241	0.4112207892
406	0.8620813728	0.4107461239
407	0.8620904916	0.4103891292
408	0.8621783783	0.4099548336
409	0.8621714863	0.4092734043
410	0.8621921467	0.4088240623
411	0.8621935488	0.408336627
412	0.862217086	0.4081181765
413	0.8622106595	0.4073819569
414	0.8622485654	0.4071814745
415	0.8622334398	0.4066377367
416	0.8623592655	0.4064327422
417	0.8624392672	0.406125366
418	0.8624583108	0.4054658469
419	0.8626159297	0.4051003452
420	0.8626544872	0.4044809111
421	0.8627216033	0.4042153742
422	0.8627127018	0.4037965268
423	0.8627426468	0.4034177135
424	0.8628731803	0.4030798906
425	0.8629514524	0.4027964022
426	0.8629535611	0.4021693523
427	0.862950056	0.4019460869
428	0.8630813725	0.4017646289
429	0.8630833687	0.4016028141
430	0.863186861	0.4013237965
431	0.8632299146	0.4011557203
432	0.8632190867	0.4005596506
433	0.8632647542	0.4003712956
434	0.8633600629	0.4000720643
435	0.8633717414	0.3998315665
436	0.8633108436	0.3996761648
437	0.8633162314	0.3989664575
438	0.8633674412	0.3984337843
439	0.8634859586	0.398245197
440	0.863489086	0.3975459399
441	0.8635649442	0.3969924986
442	0.8635672176	0.3965294414
443	0.8637798276	0.3963017425
444	0.8637985184	0.3961783363
445	0.8638242827	0.3959799534
446	0.8638583636	0.395456775
447	0.8637921207	0.3952347404
448	0.8637907948	0.3945618449
449	0.8638795952	0.3941629612
450	0.8639103258	0.3939879713
451	0.8639996131	0.393512142
452	0.8640828048	0.3933177239
453	0.8640978986	0.393183834
454	0.864360684	0.3928184611
455	0.8643900573	0.392326707
456	0.864456897	0.3920830432
457	0.8644959591	0.3917925528
458	0.8643809562	0.391564887
459	0.864390457	0.3914610562
460	0.8643296825	0.390883392
461	0.864333779	0.3906630815
462	0.8645012725	0.3902041823
463	0.8647603578	0.3899682752
464	0.8647754008	0.3898566533
465	0.8647718931	0.3892464259
466	0.8648869254	0.3890277898
467	0.8648733412	0.3887495577
468	0.8650475001	0.3883559713
469	0.8651237093	0.3881084303
470	0.8651298889	0.3878780359
471	0.865166106	0.3877013936
472	0.865185376	0.3874704164
473	0.8653686456	0.3871459293
474	0.8653921548	0.3867991065
475	0.8653845724	0.3866841528
476	0.8653720199	0.3862999317
477	0.8653974778	0.3860673921
478	0.8654585865	0.38586475
479	0.8654438254	0.3853592437
480	0.8656719514	0.3851984645
481	0.8656587444	0.3849159381
482	0.865696453	0.384677308
483	0.8657632724	0.3845052018
484	0.8657577305	0.3838917642
485	0.8658188928	0.3835411566
486	0.8659265886	0.3832977153
487	0.8659606559	0.3826822903
488	0.8660366872	0.3822372176
489	0.866178987	0.3820061748
490	0.8662063827	0.3817870722
491	0.866205688	0.3812060155
492	0.8661876505	0.3806911633
493	0.8661977739	0.3806072117
494	0.8661473903	0.3801617679
495	0.8661466677	0.3796960593
496	0.86618998	0.379457949
497	0.8662305068	0.3792503057
498	0.8663328299	0.3790603473
499	0.866409771	0.3787299457
